"Ozone","Solar.Radiation","Wind","Temperature","Date"
41,190,7.4,19.44,2025-05-01
36,118,8,22.22,2025-05-02
12,149,12.6,23.33,2025-05-03
18,313,11.5,16.67,2025-05-04
23,308.333333333333,14.3,13.33,2025-05-05
28,303.666666666667,14.9,18.89,2025-05-06
23,299,8.6,18.33,2025-05-07
19,99,13.8,15,2025-05-08
8,19,NA,16.11,2025-05-09
7.5,194,8.6,20.56,2025-05-10
7,225,6.9,23.33,2025-05-11
16,256,9.7,20.56,2025-05-12
11,290,9.2,18.89,2025-05-13
14,274,10.9,20,2025-05-14
18,65,13.2,14.44,2025-05-15
14,334,11.5,17.78,2025-05-16
34,307,12,18.89,2025-05-17
6,78,NA,13.89,2025-05-18
30,322,11.5,20,2025-05-19
11,44,9.7,16.67,2025-05-20
1,8,9.7,15,2025-05-21
11,320,16.6,22.78,2025-05-22
4,25,9.7,16.11,2025-05-23
32,92,12,16.11,2025-05-24
29.75,66,16.6,13.89,2025-05-25
27.5,266,14.9,14.44,2025-05-26
25.25,139.5,8,13.89,2025-05-27
23,13,12,19.44,2025-05-28
45,252,14.9,27.22,2025-05-29
115,223,5.7,26.11,2025-05-30
37,279,7.4,24.44,2025-05-31
35.8571428571429,286,8.6,25.56,2025-06-01
34.7142857142857,287,9.7,23.33,2025-06-02
33.5714285714286,242,16.1,19.44,2025-06-03
32.4285714285714,186,9.2,28.89,2025-06-04
31.2857142857143,220,8.6,29.44,2025-06-05
30.1428571428571,264,14.3,26.11,2025-06-06
29,127,9.7,27.78,2025-06-07
50,273,6.9,30.56,2025-06-08
71,291,13.8,32.22,2025-06-09
39,323,11.5,30.56,2025-06-10
33.6666666666667,259,10.9,33.89,2025-06-11
28.3333333333333,250,9.2,33.33,2025-06-12
23,148,8,27.78,2025-06-13
22.3333333333333,332,13.8,26.67,2025-06-14
21.6666666666667,322,11.5,26.11,2025-06-15
21,191,14.9,25,2025-06-16
37,284,NA,22.22,2025-06-17
20,37,9.2,18.33,2025-06-18
12,120,11.5,22.78,2025-06-19
13,137,10.3,24.44,2025-06-20
16,150,6.3,25,2025-06-21
19,59,1.7,24.44,2025-06-22
22,91,4.6,24.44,2025-06-23
25,250,6.3,24.44,2025-06-24
28,135,8,23.89,2025-06-25
31,127,8,25.56,2025-06-26
34,47,10.3,22.78,2025-06-27
37,98,11.5,26.67,2025-06-28
40,31,14.9,25,2025-06-29
43,138,8,28.33,2025-06-30
46,269,4.1,28.89,2025-07-01
49,248,9.2,29.44,2025-07-02
32,236,9.2,27.22,2025-07-03
48,101,10.9,28.89,2025-07-04
64,175,4.6,28.33,2025-07-05
40,314,10.9,28.33,2025-07-06
77,276,5.1,31.11,2025-07-07
97,267,6.3,33.33,2025-07-08
97,272,5.7,33.33,2025-07-09
85,175,7.4,31.67,2025-07-10
47.5,139,8.6,27.78,2025-07-11
10,264,14.3,22.78,2025-07-12
27,175,14.9,27.22,2025-07-13
17,291,14.9,32.78,2025-07-14
7,48,14.3,26.67,2025-07-15
48,260,6.9,27.22,2025-07-16
35,274,10.3,27.78,2025-07-17
61,285,6.3,28.89,2025-07-18
79,187,5.1,30.56,2025-07-19
63,220,11.5,29.44,2025-07-20
16,7,6.9,23.33,2025-07-21
37.3333333333333,258,9.7,27.22,2025-07-22
58.6666666666667,295,11.5,27.78,2025-07-23
80,294,8.6,30,2025-07-24
108,223,8,29.44,2025-07-25
20,81,8.6,27.78,2025-07-26
52,82,12,30,2025-07-27
82,213,7.4,31.11,2025-07-28
50,275,7.4,30,2025-07-29
64,253,7.4,28.33,2025-07-30
59,254,9.2,27.22,2025-07-31
39,83,6.9,27.22,2025-08-01
9,24,13.8,27.22,2025-08-02
16,77,7.4,27.78,2025-08-03
78,121.5,6.9,30,2025-08-04
35,166,7.4,29.44,2025-08-05
66,210.5,4.6,30.56,2025-08-06
122,255,4,31.67,2025-08-07
89,229,10.3,32.22,2025-08-08
110,207,8,32.22,2025-08-09
88,222,8.6,33.33,2025-08-10
66,137,11.5,30,2025-08-11
44,192,11.5,30,2025-08-12
28,273,11.5,27.78,2025-08-13
65,157,9.7,26.67,2025-08-14
43.5,64,11.5,26.11,2025-08-15
22,71,10.3,25,2025-08-16
59,51,6.3,26.11,2025-08-17
23,115,7.4,24.44,2025-08-18
31,244,10.9,25.56,2025-08-19
44,190,10.3,25.56,2025-08-20
21,259,15.5,25,2025-08-21
9,36,14.3,22.22,2025-08-22
27,255,12.6,23.89,2025-08-23
45,212,9.7,26.11,2025-08-24
59,238,3.4,27.22,2025-08-25
73,215,8,30,2025-08-26
74.5,153,5.7,31.11,2025-08-27
76,203,9.7,36.11,2025-08-28
118,225,2.3,34.44,2025-08-29
84,237,6.3,35.56,2025-08-30
85,188,6.3,34.44,2025-08-31
96,167,6.9,32.78,2025-09-01
78,197,5.1,33.33,2025-09-02
73,183,2.8,33.89,2025-09-03
91,189,4.6,33.89,2025-09-04
47,95,7.4,30.56,2025-09-05
32,92,15.5,28.89,2025-09-06
20,252,10.9,26.67,2025-09-07
23,220,10.3,25.56,2025-09-08
21,230,10.9,23.89,2025-09-09
24,259,9.7,22.78,2025-09-10
44,236,14.9,27.22,2025-09-11
21,259,15.5,24.44,2025-09-12
28,238,6.3,25,2025-09-13
9,24,10.9,21.67,2025-09-14
13,112,11.5,21.67,2025-09-15
46,237,6.9,25.56,2025-09-16
18,224,13.8,19.44,2025-09-17
13,27,10.3,24.44,2025-09-18
24,238,10.3,20,2025-09-19
16,201,8,27.78,2025-09-20
13,238,12.6,17.78,2025-09-21
23,14,9.2,21.67,2025-09-22
36,139,10.3,27.22,2025-09-23
7,49,10.3,20.56,2025-09-24
14,20,16.6,17.22,2025-09-25
30,193,6.9,21.11,2025-09-26
22,145,13.2,25,2025-09-27
14,191,14.3,23.89,2025-09-28
18,131,8,24.44,2025-09-29
20,223,11.5,20,2025-09-30
