"Experiment","Citation","Depth","Sample date","Time (years)","g C m-2 mean ambient CO2","g C m-2 mean increased CO2","n samples ambient CO2","n samples increased CO2","Description of data source","Value treatment","log_response_ration","Phase"
"ArizonaFACE - wheat - high N","Leavitt et al. 2001","0-15 cm","Nov 95",0,1344,1228,4,4,"fig. 3","assumed BD= 1.48 g/cm3 (Post et al. 1988)",-0.0902634123760071,"early"
"ArizonaFACE - wheat - high N","Leavitt et al. 2001","0-15 cm","may 1996",0.5,1363,1305,4,4,"fig. 3","assumed BD= 1.48 g/cm3 (Post et al. 1988)",-0.0434851119397388,"early"
"ArizonaFACE - wheat - high N","Leavitt et al. 2001","0-15 cm","dec. 1996",1,1254,1264,4,4,"fig. 3","assumed BD= 1.48 g/cm3 (Post et al. 1988)",0.00794285351393673,"early"
"ArizonaFACE - wheat - high N","Leavitt et al. 2001","0-15 cm","may 1997",1.5,1258,1400,4,4,"fig. 3","assumed BD= 1.48 g/cm3 (Post et al. 1988)",0.106949078342964,"early"
"Biosphere 2","Trueman and  Gonzalez-Meler 2005","0-25 cm","average 1999",0,5950,6362,1,1,"fig. 3","bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)",0.066951573769414,"early"
"Biosphere 2","Trueman and  Gonzalez-Meler 2005","0-25 cm","average 2000",1,5254,4735,1,1,"fig. 3","bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)",-0.104007964625307,"early"
"Biosphere 2","Trueman and  Gonzalez-Meler 2005","0-25 cm","average 2001",2,6084,4785,1,1,"fig. 3","bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)",-0.240176349492129,"early"
"Biosphere 2","Trueman and  Gonzalez-Meler 2005","0-25 cm","average 2002",3,5470,4064,1,1,"fig. 3","bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)",-0.297110906157709,"mid"
"Biosphere 2","Trueman and  Gonzalez-Meler 2005","0-25 cm","average 2003",4,5335,4220,1,1,"fig. 3","bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)",-0.234453756705796,"mid"
"China FACE - low N","Zhong et al. 2009","0-15 cm","mar. 2008",3.66,1937,2192,3,3,"table 1","bulk density: 1.16 g/cm3 f(text)",0.12367398466091,"mid"
"China FACE - low N","Zhong et al. 2009","0-15 cm","Jun 08",4,1937,2123,3,3,"table 1","bulk density: 1.16 g/cm3 f(text)",0.0916897982962603,"mid"
